id;api_nom;api_url;api_version
1;éclater;auparavant conseil municipal si;20222
2;subito totalement quoique;dès que arranger reposer;11638
3;après-demain revenir;ainsi;14053
4;bien que sincère efficace;boum croâ au point que;3072
5;présidence de peur que;séculaire exprès équipe;24089
6;au point que enterrer;étranger;13261
7;ensemble;reporter égoïste au cas où;27303
8;paf grandement concernant;brave foule en face de;13865
9;main-d’œuvre respirer porte-parole;candide;4132
10;tellement;réparer devant vétuste;21480
