id;name;activity;camtitre;camdatecreation;camdatefin;camispub
1;rembourser tant;que observer drelin;inscrire;2024-03-15;2024-03-14T15:42:52;true
2;vétuste;rectangulaire méditer;sitôt que mélancolique;2024-03-15;2024-03-15T05:00:06;false
3;retenir ferme;vis-à-vie de après que;patientèle;2024-03-14;2024-03-15T07:56:50;false
4;membre à vie correspondre grandement;rectorat au dépens de;que au-dessous;2024-03-15;2024-03-14T18:18:16;false
5;tant;pourvu que pourpre;quand afin de triste;2024-03-15;2024-03-15T05:46:19;true
6;spécialiste;mélancolique renaître alors;à défaut de  entre apparemment;2024-03-15;2024-03-15T11:27:09;true
7;camarade trier;malade pourvu que sauf;électorat;2024-03-14;2024-03-15T12:48:51;true
8;hirsute séduire;du côté de;vroum en plus de;2024-03-15;2024-03-15T01:24:29;true
9;être spécialiste vraiment;grandement afin que;auprès de;2024-03-15;2024-03-14T18:33:33;false
10;habile vraisemblablement comme;terne antique;drelin dedans réagir;2024-03-14;2024-03-15T06:48:22;true
