id;ref_code;ref_radical;ref_fr_title;ref_ar_title;ref_en_title
1;que affable;même;moyennant;collègue définir;au cas où lire vivace
2;flotter boum;vouh;guide;conserver mature;concilier bousculer tant
3;ouf;puisque revoir;porte-parole ouch là-haut;meuh;de crainte que brûler innombrable
4;miaou corps enseignant porte-parole;que;y grrr de façon que;corps enseignant;snob dès que ouf
5;contre opposer espiègle;mince de la part de rattraper;trouver;touchant avoir tard;puisque de façon que coac coac
6;dès que membre du personnel;apparemment;plouf en plus de infime;distribuer pourvu que aujourd'hui;si à peine bof
7;hé;comme;rapprocher sitôt que;rire commis de cuisine;gestionnaire
8;équipe enseigner membre du personnel;dring guide même si;plic peu;à l'instar de aux alentours de;juger
9;certainement miam vers;désagréable patientèle;entièrement reporter;administration badaboum affecter;bzzz nonobstant partenaire
10;smack reparaître plouf;plutôt;électorat mériter boum;ah de la part de toutefois;de
