id;sender;receiver;msgdata;sendate_envoi;dialogue;is_sent;isbulk;titre
1;au point que plic;tout pff;débile au dépens de;2024-03-05T03:28:13;gratis;true;true;restreindre coac coac
2;snif à l'instar de au prix de;secours passablement parlementaire;amorcer infiniment;2024-03-05T09:41:49;avant-hier;true;false;par
3;adhérer suffisamment extrêmement;grouper éprouver pencher;pacifique distinguer gonfler;2024-03-05T13:53:13;ailleurs infime;true;false;aigre
4;à condition que;au-dessous pschitt via;infime;2024-03-05T10:50:29;main-d’œuvre;true;true;areu areu crac responsable
5;chasser camarade;cuicui psitt;hypocrite trop mairie;2024-03-04T16:31:17;fade;false;false;consulter traduire
6;hôte équipe quoique;pschitt sombre;disparaître conseil municipal;2024-03-04T16:04:36;à moins de;true;false;hirsute de façon à joliment
7;débarquer ah;pêcher autour de pourvu que;habile;2024-03-05T05:25:20;administration pin-pon;true;true;miam négliger triathlète
8;vu que responsable;pisser patientèle;réussir rouler;2024-03-05T03:00:06;à l'encontre de;true;true;par rapport à fonctionnaire debout
9;pas mal de crainte que dessus;au-dehors;snob fouiller pschitt;2024-03-05T00:36:23;précisément pschitt;false;false;prout de la part de marcher
10;glouglou;en vérité;jeune ferme;2024-03-05T13:32:14;grossir dring;false;true;ici soit d’autant que
