id;serv_nom;serv_description;nbrusage;montant;statut
1;équipe de recherche;guide soit;20695;7230.21;true
2;au défaut de;contempler hirsute grrr;7417;23097.64;false
3;avant de secours;avant que trouver;14093;28770.88;true
4;ensemble;extra de crainte que si;14502;1666.19;true
5;pour que;insipide gigantesque;31861;15950.05;false
6;vroum de sorte que au cas où;du moment que depuis près;20440;26303.6;true
7;sédentaire;crier au-dehors pschitt;18582;3393.44;false
8;en outre de;aux alentours de hors;15464;9312.91;true
9;en faveur de délégation en;à l'insu de pauvre devant;3487;23215.42;false
10;en bas de;éclater dense;19293;23896.8;true
