id;api;nom;description;typeacces;planabonnement;nbrusage;montant
1;pendant que svelte collègue;calmer;envers nommer de manière à ce que;API;bientôt;3650;630
2;personnel professionnel;naguère crier;sale;API;divinement brouiller;16895;15281
3;pis contenir;hisser énergique parfois;à partir de;INTERFACE_GRAPHIQUE;chez soudain;26812;14904
4;divinement vouh dynamique;comme ouille;de façon que;API;de sorte que loin de près;28280;30669
5;de manière à ce que;naguère contre population du Québec;vroum après afin que;LES_DEUX;du moment que foule géométrique;25372;4034
6;entre tic-tac;redonner réagir;en outre de avant que rapide;API;souper corps enseignant;22490;26039
7;céans demain marron;affable personnel vivace;jeune enfant de par à même;LES_DEUX;de peur que;32701;12645
8;spécialiste pschitt tromper;vu que;fonctionnaire sitôt que;LES_DEUX;à moins de d'abord adversaire;14901;9750
9;personnel professionnel recta;chut;quant à par au-dessus de;INTERFACE_GRAPHIQUE;vlan;31131;13104
10;touriste;réchauffer présidence vlan;puis super;API;pourvu que peu joliment;14449;7430
